"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22, 2022","37.96","38.25","38.47","37.80","474.25K","-0.86%"
"Apr 21, 2022","38.29","38.43","39.09","37.85","982.34K","2.03%"
"Apr 20, 2022","37.53","38.02","38.37","37.46","451.93K","-0.27%"
"Apr 19, 2022","37.63","36.85","38.33","36.64","711.91K","2.34%"
"Apr 18, 2022","36.77","36.51","37.06","36.25","428.12K","0.00%"
"Apr 14, 2022","36.77","37.87","38.22","36.66","959.15K","-3.39%"
"Apr 13, 2022","38.06","36.96","38.34","36.70","776.26K","3.93%"
"Apr 12, 2022","36.62","36.61","37.85","36.11","1.40M","3.07%"
"Apr 11, 2022","35.53","35.23","36.03","34.90","1.36M","0.85%"
"Apr 08, 2022","35.23","35.35","36.09","34.61","881.26K","-0.17%"
"Apr 07, 2022","35.29","36.75","36.75","34.86","1.44M","-3.32%"
"Apr 06, 2022","36.50","37.57","37.57","35.88","911.40K","-4.67%"
"Apr 05, 2022","38.29","38.75","39.44","37.44","560.17K","-1.62%"
"Apr 04, 2022","38.92","38.72","39.04","37.85","654.82K","-0.05%"
"Apr 01, 2022","38.94","40.39","40.94","38.48","893.77K","-2.14%"
"Mar 31, 2022","39.79","39.00","40.59","38.44","1.16M","2.53%"
"Mar 30, 2022","38.81","39.64","39.97","38.72","677.16K","-2.97%"
"Mar 29, 2022","40.00","39.59","41.00","39.53","935.82K","3.01%"
"Mar 28, 2022","38.83","37.65","38.88","37.53","821.93K","3.41%"
"Mar 25, 2022","37.55","38.42","38.50","37.25","610.28K","-2.09%"
"Mar 24, 2022","38.35","38.01","38.42","37.40","428.23K","1.56%"
"Mar 23, 2022","37.76","38.07","38.71","37.69","718.15K","-1.36%"
"Mar 22, 2022","38.28","37.78","38.81","37.71","658.03K","2.46%"
