"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 14, 2020","106.48","106.43","106.50","106.43","1.83M","0.06%"
"Dec 11, 2020","106.42","106.43","106.45","106.42","1.08M","-0.03%"
"Dec 10, 2020","106.45","106.42","106.47","106.42","579.60K","0.00%"
"Dec 09, 2020","106.45","106.40","106.46","106.39","1.07M","0.04%"
"Dec 08, 2020","106.41","106.40","106.43","106.38","633.93K","-0.01%"
"Dec 07, 2020","106.42","106.38","106.43","106.35","812.93K","0.08%"
"Dec 04, 2020","106.34","106.40","106.43","106.33","1.07M","-0.05%"
"Dec 03, 2020","106.39","106.32","106.44","106.30","1.24M","0.05%"
"Dec 02, 2020","106.34","106.32","106.35","106.30","1.11M","0.02%"
"Dec 01, 2020","106.32","106.36","106.40","106.30","1.97M","-0.02%"
"Nov 30, 2020","106.34","106.31","106.50","106.30","1.64M","0.01%"
"Nov 27, 2020","106.33","106.30","106.40","106.28","484.61K","0.04%"
"Nov 25, 2020","106.29","106.27","106.36","106.24","1.24M","0.03%"
"Nov 24, 2020","106.26","106.49","106.49","106.21","1.25M","0.04%"
"Nov 23, 2020","106.22","106.24","106.29","106.20","1.38M","0.06%"
"Nov 20, 2020","106.16","106.15","106.22","106.15","2.04M","-0.03%"
"Nov 19, 2020","106.19","106.14","106.22","106.13","1.86M","0.04%"
"Nov 18, 2020","106.15","106.18","106.30","106.15","2.35M","-0.04%"
"Nov 17, 2020","106.19","106.15","106.22","106.14","1.25M","-0.03%"
"Nov 16, 2020","106.22","106.23","106.25","106.13","2.05M","0.08%"
"Nov 13, 2020","106.13","106.22","106.25","106.09","1.93M","-0.02%"
"Nov 12, 2020","106.15","106.16","106.26","106.10","2.08M","-0.02%"
"Nov 11, 2020","106.17","106.12","106.26","106.08","1.70M","0.03%"
"Nov 10, 2020","106.14","106.11","106.18","106.03","4.57M","0.08%"
"Nov 09, 2020","106.05","106.20","106.24","105.98","7.32M","-0.06%"
"Nov 06, 2020","106.11","106.12","106.20","106.03","4.79M","0.05%"
"Nov 05, 2020","106.06","106.22","106.22","106.06","4.51M","-0.12%"
"Nov 04, 2020","106.19","106.02","106.27","106.02","6.14M","0.15%"
"Nov 03, 2020","106.03","106.14","106.23","106.00","6.00M","-0.15%"
"Nov 02, 2020","106.19","105.95","106.28","105.87","21.41M","-0.27%"
