"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2022","157.83","153.00","157.83","153.00","0.00K","3.15%"
"Mar 31, 2022","153.01","153.01","153.01","153.01","0.00K","2.35%"
"Mar 28, 2022","149.50","151.05","151.05","149.50","1.04K","0.27%"
"Mar 25, 2022","149.10","149.55","149.59","148.95","0.85K","0.10%"
"Mar 24, 2022","148.95","150.00","150.30","148.95","0.11K","-0.70%"
"Mar 23, 2022","150.00","150.00","150.00","150.00","0.00K","0.00%"
"Mar 22, 2022","150.00","150.00","150.00","150.00","0.01K","-0.99%"
"Mar 18, 2022","151.50","151.50","151.50","151.50","0.02K","-2.48%"
"Mar 17, 2022","155.35","155.35","155.35","155.35","0.03K","0.23%"
"Mar 16, 2022","155.00","155.00","155.00","155.00","0.00K","-2.05%"
"Mar 15, 2022","158.25","158.25","158.25","158.25","0.10K","2.43%"
"Mar 14, 2022","154.50","152.74","154.50","152.74","0.01K","0.00%"
"Mar 11, 2022","154.50","154.50","154.50","154.50","0.03K","-1.81%"
"Mar 09, 2022","157.35","157.35","157.35","157.35","0.13K","-6.34%"
"Mar 07, 2022","168.00","168.00","168.00","168.00","0.20K","2.54%"
"Mar 04, 2022","163.84","163.84","163.84","163.84","0.01K","0.73%"
"Mar 03, 2022","162.65","160.75","162.65","160.75","0.20K","0.25%"
"Mar 02, 2022","162.24","164.32","164.32","162.24","0.21K","-13.94%"
"Feb 23, 2022","188.51","158.75","188.51","158.75","0.02K","11.07%"
"Feb 21, 2022","169.72","169.72","169.72","169.72","0.00K","0.33%"
"Feb 18, 2022","169.16","170.34","170.34","169.16","0.06K","1.95%"
"Feb 16, 2022","165.92","165.92","165.92","165.92","0.01K","-2.11%"
"Feb 15, 2022","169.49","169.49","169.49","169.49","0.00K","7.39%"
"Apr 20, 2022","157.83","153.00","157.83","153.00","0.00K","3.15%"
"Mar 31, 2022","153.01","153.01","153.01","153.01","0.00K","2.35%"
"Mar 28, 2022","149.50","151.05","151.05","149.50","1.04K","0.27%"
"Mar 25, 2022","149.10","149.55","149.59","148.95","0.85K","0.10%"
"Mar 24, 2022","148.95","150.00","150.30","148.95","0.11K","-0.70%"
"Mar 23, 2022","150.00","150.00","150.00","150.00","0.00K","0.00%"
"Mar 22, 2022","150.00","150.00","150.00","150.00","0.01K","-0.99%"
